fund_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster_kmeans,cluster_hac,name,beta_Mkt_RF_5y,rsquared_5y,vol_ann_5y
61839,5.026756201464817,-3.3182781729660116,-0.625462305806097,-0.08976116491006943,-1.6327075450134105,0.911246583420463,0.4607784234155027,0,1,"SCH ISF QEP GBL ACT VAL ""B"" (USD) INC AV",0.8956042687061442,0.526848627159189,15.305043250375123
61860,-0.9498479931738282,2.151051444727139,0.07270999982300788,-2.162923206194918,-0.08052727089523835,0.7080349624852185,-1.1407979022715211,0,1,"AXA WF FRAMLINGTON EUROPE ""I""",0.5833533627359915,0.31272814534623117,15.743193124739724
61902,1.668994021872623,-0.47439360391222285,0.35975920485595436,1.511267075409513,2.3326105218383657,-1.1851064720639692,-1.4506738370168024,0,1,"BARINGS ASEAN FRONTIE ""A"" (GBP) D",0.7192364020624408,0.30925821738915094,15.67621813736467
62002,-0.2545458681486741,4.235676103368681,-1.8637599689398463,-0.613409284949306,4.359225902442547,3.255645480635771,0.9218482936896604,0,1,"TEMPLETON ASIAN SMALLER COMP ""A"" (EUR)",0.6458950573141142,0.38275273630213524,15.806151998809764
62004,-0.23142305988366507,4.49473871098483,-1.5976060047790026,-0.4016202070359656,4.314586076021631,3.4646903589478897,0.9684797409947032,0,1,"TEMPLETON ASIAN SMALLER COMP ""I"" (EUR)",0.6450356105698931,0.3823390016765553,15.817518996990264
62022,2.711080350223504,4.345992233642284,4.744078162350601,2.4323239604484486,-0.30574830239545314,-0.8697893466297383,-0.09476644952989466,0,1,"T ROWE PRICE GLOBAL GROWTH  EQUITY ""A""",0.8355953570139956,0.46098415464735054,16.4374377523573
62023,2.7815982795454572,4.6173173069256555,5.077135093931411,2.7169792016387806,-0.3827200520187453,-0.6259110763613864,-0.06949095353415696,0,1,"T ROWE PRICE GLOBAL GROWTH EQUITY ""I""",0.836278176343737,0.460921029965662,16.45206091783536
62024,4.96472881674144,-2.541924087671852,2.087922646965292,-0.4059869149377435,1.5111480410741063,-0.7185757755843595,0.15455083179608442,0,1,"T ROWE PRICE GLB REAL EST SEC EQ ""A""",0.8524773203756685,0.3647678937469937,16.808495563714466
62025,5.029239776120933,-2.4054235199641036,2.3145715554806077,-0.20785266690761853,1.4440416206091025,-0.506040998439635,0.19934598602541398,0,1,"T ROWE PRICE GLB REAL EST SEC EQ ""I""",0.85329904073063,0.3657478116163806,16.784224834362945
62028,1.0889950080875104,2.270483096368413,2.268667837983913,-0.12774409197448974,1.6534920870893746,-0.24693025477482833,1.020780973464385,0,1,"T ROWE PRICE EUR SM COMP EQ ""A""",0.7296105851043018,0.40678202065275715,15.472283713847535
62029,1.1107662682374406,2.4726324853734507,2.5231366889616984,0.07182877700776283,1.6028056901005636,-0.08825728092070567,1.0397973602925257,0,1,"T ROWE PRICE EUR SM COMP EQ ""I""",0.7298372477210708,0.40706011409489806,15.471671814662908
62307,-0.19530414358072523,-2.2356380777055147,-2.852972643702622,3.0774991796836684,-0.6004336704720572,-0.7936429963614268,0.38941696290463024,1,0,"INVESCO ASIA BALANCED ""C""",0.5094016564991503,0.5562317637395144,8.38191194592811
62308,-0.2264060584723704,-2.3309123605072872,-2.984645505399155,2.9422411676471127,-0.5797067525990303,-0.928888495744667,0.37771770500801016,1,0,"INVESCO ASIA BALANCED ""A""",0.5084637529285276,0.5553223305692201,8.382455026459796
62309,-0.21699029743404497,-2.8887976158879036,-3.595774482908914,2.385107326869648,-0.39019989502443897,-1.2968920271887165,0.35653347576352235,1,0,"INVESCO ASIA BALANCED ""A"" (USD) D",0.5081261587170368,0.5381147170890794,8.483541252199124
62312,-0.4015897737028955,1.396571678821946,0.03284393209934219,-5.425058481757395,-0.7112886979708505,1.095014537964734,1.4622892155086313,0,1,"FRANKLIN MUTUAL GLB DISCOVERY ""I"" (EUR)",0.6263174721699523,0.3298586077328953,17.845512530684225
62383,0.16084201480717697,1.1314255211689332,0.7868555739576826,-3.2255338244300007,-0.526905204868291,0.3470891208867017,-1.1032503281539174,0,1,"AMUNDI INDEX MSCI EMU ""AE"" ACC",0.65607157082336,0.3041015812334883,17.26731661596915
62434,0.29752219076214903,5.25611879555686,-0.7689417381649,-1.2329060461957155,0.06152821449145737,1.008286344167246,1.4880884026340724,0,1,"INVESTEC GLOBAL STRAT EQ ""I"" (USD)",0.655257308077319,0.37620053182267066,17.369903783820615
62447,2.8810873672625816,-0.7795927884543044,-2.17434432580575,1.602063282269997,1.1382011448298166,1.8599257722005786,-2.3742283063468617,0,1,"DWS INVEST EMR MK TOP DIV ""FC"" ACC",0.7973712022149788,0.5200315357123553,14.172992102506958
62448,2.8452731606455637,-0.9430996001299319,-2.4046752702928664,1.423343706032008,1.1795627118468903,1.6947503526210812,-2.4022408977751857,0,1,"DWS INVEST EMR MK TOP DIV ""LC"" ACC",0.7970356015730078,0.5201675918553832,14.171196179696722
62449,2.8220791739959235,-1.1059372294183407,-2.5970555363303665,1.2645122344660962,1.2102699718220413,1.5430338785607671,-2.4274649206024996,0,1,"DWS INVEST EMR MK TOP DIV ""NC"" ACC",0.7971760601159537,0.5202482868357583,14.170102575171173
62491,-2.3014181886564256,-0.6642959027379859,1.2235450165777495,-1.9188891593579278,4.193154337195077,1.2112421307768566,1.6606025998623941,1,1,"TEMPLETON FRONTIER MARKETS ""C"" (USD)",0.5548504661197986,0.3742969928898452,11.50336266446844
62498,-0.5995531194019885,2.4038833511382274,-0.3049458516429118,-1.9046862649491616,0.10426293934912054,0.2621302587477599,-0.9829024356573821,0,1,"EURO CAPITAL DURABLE ""M"" ACC",0.6144805456224344,0.3072629771472988,16.40522086235451
62503,-5.466162380385116,-2.081544071928327,1.9476218644524306,2.3472805440111038,-0.29299257036579684,0.4498059796374197,-0.46480380844934,1,0,"NORDEA 1 US HIGH YIELD BOND ""BP"" (USD)",0.2587961917759604,0.3318935887983494,4.9557436464066225
62505,-5.50509176976664,-2.315959840804079,1.710499542158555,2.058015876784212,-0.14984440183826664,0.18066541119955076,-0.5503695161615384,1,0,"NORDEA 1 US HIGH YIELD BOND ""E"" (USD)",0.2596626839180748,0.3317837908825215,4.970475831728986
62507,-5.462429865286493,-1.9834154235050179,2.1674763500556207,2.4417358650670553,-0.2141370196433767,0.5902779584038225,-0.44982145849758526,1,0,"NORDEA 1 US HIGH YIELD BOND ""BI"" (USD)",0.25932010658672333,0.3320519861965001,4.964046399021503
62520,5.259616750805771,-1.82981473457416,-2.3578461807524023,2.6364380329402177,-0.03408667015823601,1.750365664263501,-0.44504148203197624,0,1,"DWS INVEST EMR MK TOP DIV ""F"" (USD) ACC",0.909603582412285,0.6463715843307873,14.07935392841728
