rebalance_date,rank,symbol,score,weight
2016-02-29,5,CVC-201606,1.7214992945482435,0.05
2016-02-29,6,ARG-201605,1.6611644758266737,0.05
2016-02-29,7,STZ,1.6207371343411707,0.05
2016-02-29,8,RAI-201707,1.5978275735614633,0.05
2016-02-29,9,MCD,1.5816074680525782,0.05
2016-02-29,10,META,1.5645878021660842,0.05
2016-02-29,11,AMZN,1.5557376251572148,0.05
2016-02-29,12,NDAQ,1.511997906811753,0.05
2016-02-29,13,TE-201606,1.4808902489506857,0.05
2016-02-29,14,TSN,1.474997369261129,0.05
2016-02-29,15,MSFT,1.4717742263991025,0.05
2016-02-29,16,PSA,1.463275666862667,0.05
2016-02-29,17,XLNX-202202,1.4453671544960724,0.05
2016-02-29,18,GAS-201606,1.4448925738310658,0.05
2016-02-29,19,GOOGL,1.4132698678808109,0.05
2016-02-29,20,TAP,1.3832597422640234,0.05
2016-03-31,1,TSN,2.23210826796495,0.05
2016-03-31,2,CVC-201606,2.001234423122697,0.05
2016-03-31,3,HRL,1.8777525260189054,0.05
2016-03-31,4,NVDA,1.8442978621026045,0.05
2016-03-31,5,TE-201606,1.7141173820426787,0.05
2016-03-31,6,MAT,1.7109138480058836,0.05
2016-03-31,7,ARG-201605,1.6917351087503487,0.05
2016-03-31,8,FSLR,1.6805157785161877,0.05
2016-03-31,9,CPB,1.548438382877765,0.05
2016-03-31,10,NI,1.479612245447358,0.05
2016-03-31,11,RAI-201707,1.424937697548684,0.05
2016-03-31,12,PSA,1.3939206783004634,0.05
2016-03-31,13,NEM,1.3493755189903556,0.05
2016-03-31,14,EW,1.3486974771756484,0.05
2016-03-31,15,VRSN,1.345524956188904,0.05
2016-03-31,16,NDAQ,1.3404585480388684,0.05
2016-03-31,17,META,1.3303512373796278,0.05
2016-03-31,18,KLAC,1.2660121438947805,0.05
2016-03-31,19,CINF,1.265806380923817,0.05
2016-03-31,20,MCD,1.2647002322366716,0.05
2016-04-30,1,TSN,2.398668516997848,0.05
2016-04-30,2,MAT,2.3259635380942174,0.05
2016-04-30,3,NVDA,2.164324821768807,0.05
2016-04-30,4,ARG-201605,1.9638842012666584,0.05
2016-04-30,5,NEM,1.8647025560877368,0.05
2016-04-30,6,HRL,1.759299387620308,0.05
2016-04-30,7,KLAC,1.6154681629604948,0.05
2016-04-30,8,FSLR,1.6116882698312773,0.05
2016-04-30,9,PSA,1.4930328915479634,0.05
2016-04-30,10,NI,1.3541019967741748,0.05
2016-04-30,11,AVY,1.3464547582931492,0.05
2016-04-30,12,CPB,1.3258333453268891,0.05
2016-04-30,13,EQIX,1.3103490362000183,0.05
2016-04-30,14,AMZN,1.2950314889804775,0.05
2016-04-30,15,MSFT,1.2896324798554375,0.05
2016-04-30,16,META,1.287716779102708,0.05
2016-04-30,17,MCD,1.267614644860881,0.05
2016-04-30,18,GMCR-201603,1.252610956325435,0.05
2016-04-30,19,PM,1.2425085609925453,0.05
2016-04-30,20,FAST,1.229669201347475,0.05
2016-05-31,1,NEM,2.5884616545475225,0.05
2016-05-31,2,TSN,2.465995558894805,0.05
2016-05-31,3,ARG-201605,2.135013015046503,0.05
2016-05-31,4,EW,2.1310801184205417,0.05
